전철역명,X좌표,Y좌표
초지,456877,1060755
안산,453040,1062570
신길온천,448260,1065560
정왕,442835,1069400
수리산,483320,1068927
개봉,468537,1109170
오류동,465445,1108947
역곡,458312,1106430
부천,451774,1106150
송내,445200,1107120
백운,435164,1105969
동암,434192,1102477
제물포,424050,1101375
동인천,418562,1103812
부개,442407,1107372
간석,432214,1100821
도원,420742,1101893
중동,447750,1106820
도화,426550,1101115
서울숲,509642,1122580
압구정로데오,508842,1118080
소사,454610,1105667
가천대,527950,1096310
태평,528172,1093737
서현,527192,1078555
수내,525145,1076772
미금,523957,1068933
오리,524013,1065930
보정,523768,1058578
죽전,523610,1061899
신갈,524500,1051200
상갈,524100,1044500
청명,517500,1043900
영통,515700,1041600
망포,512500,1040000
매탄권선,508800,1042000
수원시청,506500,1044700
매교,503400,1045300
월곶,442655,1080745
소래포구,440955,1083045
인천논현,438355,1083045
호구포,435255,1083345
남동인더스파크,432555,1084945
연수,428755,1087845
송도,424155,1090745
방학,509602,1157006
도봉,509890,1160207
망월사,510207,1168925
의정부,509950,1176650
가능,509550,1179510
녹양,509151,1182411
양주,509651,1186511
덕계,512355,1198910
덕정,513355,1205710
지행,512155,1219310
동두천중앙,512255,1222010
보산,512355,1225370
동두천,511905,1229110
소요산,513255,1235010
원당,465247,1153090
백석,453049,1150265
마두,450765,1152723
정발산,449837,1154790
주엽,447158,1157765
대화,444178,1159423
방화,458487,1132005
개화산,457115,1130677
송정,458327,1127585
마곡,461137,1127285
발산,463930,1126865
우장산,463575,1124075
화곡,464647,1121977
신정,467952,1117395
목동,469885,1117862
오목교,472327,1117257
양평,474744,1117620
여의나루,485020,1118070
마포,487855,1121387
애오개,490233,1125313
서대문,492467,1128777
광화문,494520,1130442
신금호,504357,1125662
행당,506397,1126405
마장,509362,1128847
답십리,511330,1129032
장한평,513985,1127595
아차산,519537,1125055
광나루,522710,1123015
강동,529040,1120490
길동,530777,1121007
굽은다리,531440,1123127
명일,531702,1124652
고덕,533850,1125845
둔촌동,529927,1118215
올림픽공원,528797,1115072
방이,527705,1112922
개롱,529600,1110007
거여,531620,1108740
마천,533682,1109147
응암,481137,1137787
역촌,482885,1139980
독바위,485010,1143355
구산,481445,1141345
새절,480680,1135812
증산,479815,1133702
월드컵경기장,477497,1129932
마포구청,478397,1128185
망원,479897,1125917
상수,482785,1123665
광흥창,484776,1123677
대흥,487020,1123710
녹사평,496899,1120133
